ID,y
1,82.98589
2,97.09706
3,83.20439
4,77.05716
5,112.72834
8,91.51304
10,100.16309
11,94.54496
12,117.239784
14,96.1529
15,115.96449
16,105.54858
17,101.07675
19,91.184555
20,100.707886
21,103.873024
22,118.71867
23,101.07675
26,95.98872
28,95.67153
29,101.07675
33,101.07675
35,94.156006
41,101.07675
42,94.27468
43,113.32166
45,102.41422
46,101.16055
51,94.555046
53,85.09604
55,109.51812
56,104.28818
57,109.95722
58,98.777756
59,104.21923
63,105.44259
64,94.35227
65,100.487175
69,96.79487
71,98.956024
72,104.69542
73,96.25426
76,104.94498
77,96.9309
78,115.852325
82,94.53538
83,100.487175
84,100.76438
85,106.90891
87,110.74902
88,101.07675
89,110.143166
91,97.63642
93,102.448845
94,105.23944
95,101.09718
96,111.22255
97,95.273705
98,109.855415
99,98.814354
101,105.73616
103,110.143166
104,93.66501
105,109.61912
110,97.4539
111,102.01939
113,104.80531
114,96.43413
115,111.450775
117,110.143166
120,95.567635
121,113.1577
122,94.239655
123,106.29295
126,108.38229
132,109.58349
135,110.49058
137,102.43826
138,95.02562
140,103.83212
142,108.79183
144,110.95748
148,91.87113
149,113.8342
155,102.584694
156,111.83242
157,95.273705
162,113.51789
163,95.73837
167,94.62903
172,113.32166
179,107.06334
180,94.316284
181,108.1721
182,97.218544
183,110.143166
185,110.143166
187,107.33428
188,93.15103
189,94.29464
191,94.01216
192,103.409065
193,93.83739
194,107.86612
195,94.78247
196,99.461685
198,109.1887
199,111.13056
201,100.42256
204,95.16922
205,106.27341
206,107.27177
210,96.760605
211,105.73616
216,111.92824
219,117.239784
220,92.2536
221,109.32486
226,108.1721
227,92.51623
228,110.34615
230,110.02097
231,95.273705
235,118.71867
236,97.95149
238,111.8298
242,104.77044
243,94.141785
244,79.72931
245,110.99817
247,118.52819
248,94.63993
249,91.28671
250,113.4118
251,97.95149
253,118.71867
254,95.07928
256,95.44985
257,92.3098
258,108.75364
259,97.53167
262,91.73317
266,101.80211
267,113.443565
272,103.79213
273,110.143166
275,93.9644
276,109.06999
279,92.956406
280,100.487175
283,92.96934
285,110.05605
288,110.143166
289,108.33007
290,100.785706
291,94.951294
292,105.744194
293,105.927505
296,93.95441
297,105.69016
298,115.852325
299,94.08211
304,91.633385
305,87.345215
306,95.00012
307,109.21019
311,104.16508
313,109.33087
314,92.7175
316,109.56319
324,111.58946
327,98.44357
329,92.45715
330,109.88048
337,97.71498
338,95.06846
339,99.63149
340,93.451546
343,93.56389
345,115.82449
346,96.57864
347,112.61265
349,110.341805
350,94.66062
352,103.55028
353,92.640686
354,90.955185
357,95.97958
358,107.81433
362,108.69617
364,103.95527
365,101.72418
366,102.08116
367,106.80816
368,93.872505
370,80.914734
373,98.95056
377,93.64901
378,107.51533
382,104.94498
384,110.435234
390,97.211334
392,112.17058
393,112.5335
395,94.37244
396,96.75301
399,80.67064
406,109.33087
408,109.33087
409,94.84812
410,80.5631
412,112.93657
413,89.78373
419,99.87646
420,105.74294
421,89.874115
430,105.39286
434,93.38384
436,94.91953
437,102.35952
438,90.61841
439,111.04768
440,101.103134
443,101.5846
446,95.21952
448,93.31909
452,94.58441
453,108.43388
457,99.582886
458,94.64099
459,114.21472
460,103.78042
462,104.30496
464,101.417656
465,117.239784
467,112.83197
471,106.93013
472,77.1576
473,105.10551
475,95.918236
480,102.362686
488,106.098495
490,109.21019
491,104.74791
492,83.50837
493,97.87325
497,94.40344
498,108.050766
499,94.500824
500,101.2122
501,94.90313
502,113.22229
506,87.63709
510,107.889915
511,90.7188
512,93.52087
516,93.53978
518,97.28285
519,112.61265
521,91.49216
522,111.8736
526,114.0647
529,108.856865
532,111.55452
533,94.62916
536,111.622856
537,94.93748
539,95.002144
540,105.96167
541,96.90621
543,93.53347
546,110.39667
547,98.55838
548,91.33306
551,94.88494
552,107.58871
556,101.686104
557,101.07013
558,106.80816
559,94.00791
560,105.77942
562,105.13523
566,98.54098
570,108.050766
571,102.35952
572,100.487175
573,93.86912
575,117.239784
576,108.866684
577,95.46071
579,90.6155
580,112.367096
581,109.056854
